City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Ketchikan,US,55.3422,-131.6461,66.67,68,0,13.8,clear sky
233,Nantucket,US,41.2835,-70.0995,71.74,100,100,13.8,overcast clouds
234,General Pico,AR,-35.6566,-63.7568,66.81,32,0,6.44,clear sky
235,Honolulu,US,21.3069,-157.8583,82.47,70,40,16.11,scattered clouds
236,Santa Cruz,BO,-17.8,-63.1667,77.05,27,0,11.5,clear sky
237,Kitui,KE,-1.367,38.0106,62.22,79,100,13.67,overcast clouds
238,Axim,GH,4.8699,-2.2405,75.02,85,100,6.35,overcast clouds
239,Nichinan,JP,31.6,131.3667,78.28,89,82,4.63,broken clouds
240,Worland,US,44.0169,-107.9554,95.88,27,0,6.91,clear sky
241,Tasiilaq,GL,65.6145,-37.6368,39.36,82,29,2.64,scattered clouds
242,Mana,GF,5.6592,-53.7767,83.53,68,42,7.67,scattered clouds
243,Nahuala,GT,14.85,-91.3167,66.22,75,100,9.22,overcast clouds
244,Ingham,US,42.6,-84.3833,79.18,53,40,8.05,scattered clouds
245,Chumikan,RU,54.7183,135.315,53.85,98,100,3.33,light rain
246,Baykit,RU,61.67,96.37,45.5,88,13,3.83,few clouds
247,Hambantota,LK,6.1241,81.1185,79.14,94,20,11.5,few clouds
248,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.19,19,89,6.64,overcast clouds
249,Mucurici,BR,-18.0933,-40.5158,83.91,22,87,9.48,overcast clouds
250,Vanavara,RU,60.34,102.2797,49.19,96,19,3.89,few clouds
251,Dakar,SN,14.6937,-17.4441,85.08,74,20,6.91,few clouds
252,Muros,ES,42.7762,-9.0603,70.09,91,46,1.81,scattered clouds
253,Lesnoy,RU,57.6198,63.0784,53.94,95,19,7.99,few clouds
254,Nchelenge,ZM,-9.3451,28.734,69.48,44,51,3.8,broken clouds
255,Waingapu,ID,-9.6567,120.2641,76.01,87,29,8.77,scattered clouds
256,Meiganga,CM,6.5167,14.3,65.86,98,100,3.6,overcast clouds
257,Tuy Hoa,VN,13.0833,109.3,77.9,81,100,8.88,overcast clouds
258,Epe,NG,6.5841,3.9834,74.84,88,96,6.91,overcast clouds
259,Yerbogachen,RU,61.2767,108.0108,53.53,99,85,4.72,overcast clouds
260,Kitgum,UG,3.2783,32.8867,66.04,97,100,3.49,light rain
261,Springbok,ZA,-29.6643,17.8865,49.46,79,98,5.14,overcast clouds
262,Labrea,BR,-7.2586,-64.7981,93.07,35,84,0.81,broken clouds
263,Clearwater,US,27.9659,-82.8001,89.13,66,40,8.99,scattered clouds
264,Ust-Nera,RU,64.5667,143.2,60.17,77,100,0.78,overcast clouds
265,Kirakira,SB,-10.4544,161.9205,78.08,87,98,7.85,heavy intensity rain
266,Stromness,GB,58.965,-3.296,55.87,91,100,8.01,overcast clouds
267,Mount Isa,AU,-20.7333,139.5,62.37,34,100,5.75,overcast clouds
268,Mokhsogollokh,RU,61.4681,128.9203,58.14,92,100,1.52,overcast clouds
269,Taoudenni,ML,22.6783,-3.9836,105.39,9,0,4.14,clear sky
270,The Valley,AI,18.217,-63.0578,87.66,66,20,13.8,few clouds
271,Kaeo,NZ,-35.1,173.7833,45.12,82,0,5.19,clear sky
272,Haines Junction,CA,60.7522,-137.5108,54.3,84,100,2.44,overcast clouds
273,Karasjok,NO,69.4719,25.5112,50.43,79,100,27.54,overcast clouds
274,Mahroni,IN,24.5862,78.7288,76.6,92,100,9.84,heavy intensity rain
275,Am Timan,TD,11.0297,20.2827,71.49,91,100,4.25,overcast clouds
276,Nouakchott,MR,18.0858,-15.9785,87.73,78,100,14.65,overcast clouds
277,Te Anau,NZ,-45.4167,167.7167,28.96,92,28,1.12,scattered clouds
278,Carnarvon,AU,-24.8667,113.6333,59.7,34,0,15.99,clear sky
279,Dabhoi,IN,22.1833,73.4333,78.12,91,95,15.12,overcast clouds
280,Jalu,LY,29.0331,21.5482,84.83,39,0,14.54,clear sky
281,Olenegorsk,RU,68.15,33.3,52.41,72,5,11.05,clear sky
282,Krasnyy Oktyabr,RU,56.1167,38.8833,57.63,74,6,3.58,clear sky
283,San Cristobal,VE,7.7669,-72.225,89.78,44,65,8.7,broken clouds
284,Brigantine,US,39.4101,-74.3646,87.21,77,40,10.36,scattered clouds
285,Quelimane,MZ,-17.8786,36.8883,68.16,84,0,4.7,clear sky
286,Cabo San Lucas,MX,22.8909,-109.9124,96.62,60,20,10.36,few clouds
287,Sao Felix Do Xingu,BR,-6.6447,-51.995,96.66,23,8,2.15,clear sky
288,Wasilla,US,61.5814,-149.4394,65.75,66,100,4.61,overcast clouds
289,Balabac,PH,7.9868,117.0645,81.82,76,99,5.53,overcast clouds
290,Urumqi,CN,43.801,87.6005,72.55,57,0,4.47,clear sky
291,Nuuk,GL,64.1835,-51.7216,49.87,76,61,5.99,broken clouds
292,Northam,GB,51.0333,-4.2167,74.61,58,4,3.71,clear sky
293,Ponta Do Sol,PT,32.6667,-17.1,74.03,71,70,3.87,broken clouds
